ip,port,protocol,state,service,version,scan_type,is_open
192.168.1.8,44822,tcp,open,unknown,unknown,Connect Scan,1
10.0.21.66,110,tcp,open,pop3,Courier pop3d,Version Detection,1
172.16.4.249,57279,tcp,open,unknown,unknown,ACK Scan,1
172.16.11.152,443,tcp,open,https,Apache httpd 2.4.41,ACK Scan,1
172.16.23.154,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,ACK Scan,1
10.0.10.223,22,tcp,open,ssh,OpenSSH 7.6p1,Connect Scan,1
10.0.5.194,135,tcp,open,msrpc,Microsoft Windows RPC,ACK Scan,1
10.0.3.50,5432,tcp,open,postgresql,PostgreSQL 12.5,Connect Scan,1
192.168.1.65,443,tcp,open,https,Microsoft IIS 10.0,Connect Scan,1
10.0.9.169,34312,udp,open,unknown,unknown,SYN Scan,1
10.0.26.213,23,tcp,open,telnet,Linux telnetd,Connect Scan,1
192.168.1.121,135,tcp,open,msrpc,Microsoft Windows RPC,Connect Scan,1
10.0.3.87,20766,tcp,closed,unknown,unknown,Version Detection,0
192.168.1.179,5432,tcp,open,postgresql,PostgreSQL 12.5,SYN Scan,1
172.16.16.79,21,tcp,open,ftp,ProFTPD 1.3.5,ACK Scan,1
10.0.9.23,5432,tcp,open,postgresql,PostgreSQL 13.1,Version Detection,1
192.168.1.7,25,tcp,open,smtp,Microsoft Exchange,Connect Scan,1
192.168.1.29,5432,tcp,open,postgresql,PostgreSQL 13.1,Version Detection,1
192.168.1.36,65060,udp,filtered,unknown,unknown,Version Detection,0
192.168.1.175,35628,tcp,closed,unknown,unknown,SYN Scan,0
192.168.1.63,56792,udp,filtered,unknown,unknown,SYN Scan,0
172.16.10.73,23,tcp,open,telnet,Cisco IOS telnetd,ACK Scan,1
10.0.21.166,8080,tcp,open,http-proxy,Jetty 9.4,ACK Scan,1
172.16.28.4,25,tcp,open,smtp,Postfix smtpd,Version Detection,1
10.0.29.72,53,udp,open,domain,dnsmasq 2.79,Connect Scan,1
172.16.23.23,25,tcp,open,smtp,Microsoft Exchange,Version Detection,1
172.16.11.192,80,tcp,open,http,nginx 1.18.0,Connect Scan,1
10.0.36.52,80,tcp,open,http,nginx 1.18.0,Connect Scan,1
10.0.5.248,8080,tcp,open,http-proxy,Jetty 9.4,Version Detection,1
192.168.1.109,62343,tcp,closed,unknown,unknown,SYN Scan,0
192.168.1.249,3306,tcp,open,mysql,MySQL 5.7.33,SYN Scan,1
192.168.1.25,42537,udp,open,unknown,unknown,Version Detection,1
192.168.1.232,445,tcp,open,microsoft-ds,Microsoft Windows 10,ACK Scan,1
10.0.5.186,56606,udp,filtered,unknown,unknown,Connect Scan,0
172.16.22.189,27017,tcp,open,mongodb,MongoDB 4.2.8,Connect Scan,1
172.16.35.250,42072,udp,filtered,unknown,unknown,Connect Scan,0
172.16.15.145,26702,udp,open,unknown,unknown,Connect Scan,1
172.16.7.144,21,tcp,open,ftp,ProFTPD 1.3.5,SYN Scan,1
192.168.1.116,110,tcp,open,pop3,Courier pop3d,ACK Scan,1
10.0.19.137,13596,udp,closed,unknown,unknown,Connect Scan,0
10.0.23.174,53,udp,open,domain,dnsmasq 2.79,Connect Scan,1
10.0.4.131,21262,udp,filtered,unknown,unknown,Version Detection,0
172.16.19.254,110,tcp,open,pop3,Courier pop3d,ACK Scan,1
192.168.1.248,53,udp,open,domain,dnsmasq 2.79,Version Detection,1
10.0.17.46,25,tcp,open,smtp,Microsoft Exchange,Connect Scan,1
10.0.29.26,59769,tcp,open,unknown,unknown,SYN Scan,1
10.0.16.60,3389,tcp,open,ms-wbt-server,Microsoft Terminal Services,Version Detection,1
10.0.32.14,25,tcp,open,smtp,Exim smtpd,SYN Scan,1
10.0.27.121,25,tcp,open,smtp,Postfix smtpd,Connect Scan,1
192.168.1.37,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,ACK Scan,1
10.0.26.233,22,tcp,open,ssh,OpenSSH 8.2p1,SYN Scan,1
172.16.2.211,21105,tcp,filtered,unknown,unknown,Version Detection,0
172.16.5.92,5432,tcp,open,postgresql,PostgreSQL 12.5,SYN Scan,1
172.16.28.77,137,udp,open,netbios-ns,Microsoft Windows NetBIOS,SYN Scan,1
172.16.28.209,137,udp,open,netbios-ns,Microsoft Windows NetBIOS,Version Detection,1
10.0.27.207,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,Version Detection,1
172.16.29.81,57584,tcp,open,unknown,unknown,Version Detection,1
192.168.1.124,64076,tcp,filtered,unknown,unknown,Connect Scan,0
10.0.28.40,25,tcp,open,smtp,Exim smtpd,SYN Scan,1
10.0.25.142,23,tcp,open,telnet,Cisco IOS telnetd,Version Detection,1
10.0.23.24,22,tcp,open,ssh,OpenSSH 8.2p1,Version Detection,1
192.168.1.33,58651,tcp,closed,unknown,unknown,SYN Scan,0
10.0.35.48,11423,tcp,filtered,unknown,unknown,SYN Scan,0
172.16.19.172,3306,tcp,open,mysql,MariaDB 10.3,ACK Scan,1
172.16.22.66,27017,tcp,open,mongodb,MongoDB 4.4.1,Connect Scan,1
172.16.18.110,21,tcp,open,ftp,FileZilla Server,ACK Scan,1
10.0.30.20,8080,tcp,open,http-proxy,Jetty 9.4,ACK Scan,1
192.168.1.184,33698,tcp,filtered,unknown,unknown,Version Detection,0
172.16.9.107,8080,tcp,open,http-proxy,Jetty 9.4,ACK Scan,1
192.168.1.137,19881,tcp,closed,unknown,unknown,SYN Scan,0
192.168.1.60,8080,tcp,open,http-proxy,Jetty 9.4,Connect Scan,1
192.168.1.213,110,tcp,open,pop3,Dovecot pop3d,ACK Scan,1
192.168.1.219,19768,udp,closed,unknown,unknown,Connect Scan,0
10.0.0.34,443,tcp,open,https,Apache httpd 2.4.41,Connect Scan,1
10.0.20.174,25,tcp,open,smtp,Postfix smtpd,Version Detection,1
10.0.15.245,3389,tcp,open,ms-wbt-server,Microsoft Terminal Services,Version Detection,1
192.168.1.226,23,tcp,open,telnet,Cisco IOS telnetd,Connect Scan,1
10.0.0.217,25,tcp,open,smtp,Postfix smtpd,Version Detection,1
10.0.5.107,21378,tcp,closed,unknown,unknown,Connect Scan,0
10.0.25.21,3389,tcp,open,ms-wbt-server,Microsoft Terminal Services,Version Detection,1
172.16.0.140,3306,tcp,open,mysql,MySQL 5.7.33,Version Detection,1
172.16.2.144,143,tcp,open,imap,Dovecot imapd,Version Detection,1
172.16.4.208,27017,tcp,open,mongodb,MongoDB 4.4.1,Version Detection,1
10.0.16.223,27017,tcp,open,mongodb,MongoDB 4.4.1,SYN Scan,1
172.16.33.105,80,tcp,open,http,Microsoft IIS 10.0,ACK Scan,1
172.16.2.215,143,tcp,open,imap,Dovecot imapd,SYN Scan,1
172.16.6.18,135,tcp,open,msrpc,Microsoft Windows RPC,Version Detection,1
192.168.1.237,23,tcp,open,telnet,Cisco IOS telnetd,ACK Scan,1
172.16.38.78,25,tcp,open,smtp,Postfix smtpd,Version Detection,1
10.0.29.217,135,tcp,open,msrpc,Microsoft Windows RPC,SYN Scan,1
192.168.1.50,53,udp,open,domain,dnsmasq 2.79,Version Detection,1
10.0.27.34,27017,tcp,open,mongodb,MongoDB 4.2.8,ACK Scan,1
10.0.18.152,25,tcp,open,smtp,Exim smtpd,SYN Scan,1
192.168.1.232,21,tcp,open,ftp,FileZilla Server,Version Detection,1
192.168.1.21,80,tcp,open,http,nginx 1.18.0,SYN Scan,1
192.168.1.154,443,tcp,open,https,Microsoft IIS 10.0,Version Detection,1
172.16.14.147,3389,tcp,open,ms-wbt-server,Microsoft Terminal Services,Version Detection,1
10.0.33.60,443,tcp,open,https,Apache httpd 2.4.41,ACK Scan,1
192.168.1.245,135,tcp,open,msrpc,Microsoft Windows RPC,ACK Scan,1
10.0.25.62,27017,tcp,open,mongodb,MongoDB 4.2.8,ACK Scan,1
192.168.1.184,40663,tcp,closed,unknown,unknown,Connect Scan,0
192.168.1.190,445,tcp,open,microsoft-ds,Samba smbd 4.7.6,Connect Scan,1
172.16.21.152,443,tcp,open,https,nginx 1.18.0,SYN Scan,1
172.16.35.181,5432,tcp,open,postgresql,PostgreSQL 13.1,SYN Scan,1
10.0.27.150,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,Version Detection,1
10.0.28.81,3389,tcp,open,ms-wbt-server,Microsoft Terminal Services,Connect Scan,1
172.16.33.40,2587,udp,closed,unknown,unknown,ACK Scan,0
192.168.1.210,65171,tcp,closed,unknown,unknown,SYN Scan,0
192.168.1.43,25,tcp,open,smtp,Postfix smtpd,Version Detection,1
192.168.1.231,22,tcp,open,ssh,Dropbear sshd,SYN Scan,1
192.168.1.222,21,tcp,open,ftp,FileZilla Server,Connect Scan,1
172.16.1.20,137,udp,open,netbios-ns,Microsoft Windows NetBIOS,ACK Scan,1
172.16.37.88,137,udp,open,netbios-ns,Microsoft Windows NetBIOS,ACK Scan,1
192.168.1.249,30207,tcp,closed,unknown,unknown,ACK Scan,0
192.168.1.58,3306,tcp,open,mysql,MySQL 5.7.33,SYN Scan,1
192.168.1.99,26903,tcp,closed,unknown,unknown,Connect Scan,0
192.168.1.231,80,tcp,open,http,Microsoft IIS 10.0,ACK Scan,1
192.168.1.56,61795,tcp,closed,unknown,unknown,Connect Scan,0
10.0.5.204,110,tcp,open,pop3,Dovecot pop3d,Version Detection,1
10.0.10.85,110,tcp,open,pop3,Courier pop3d,ACK Scan,1
10.0.35.173,135,tcp,open,msrpc,Microsoft Windows RPC,SYN Scan,1
10.0.30.175,53,udp,open,domain,ISC BIND 9.11,Connect Scan,1
192.168.1.24,27017,tcp,open,mongodb,MongoDB 4.4.1,Connect Scan,1
172.16.15.244,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,Version Detection,1
192.168.1.162,143,tcp,open,imap,Courier imapd,Version Detection,1
192.168.1.149,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,Version Detection,1
172.16.21.193,49112,tcp,closed,unknown,unknown,SYN Scan,0
10.0.36.51,50949,udp,closed,unknown,unknown,ACK Scan,0
10.0.18.99,21,tcp,open,ftp,FileZilla Server,Version Detection,1
192.168.1.208,23,tcp,open,telnet,Linux telnetd,Version Detection,1
10.0.31.236,27017,tcp,open,mongodb,MongoDB 4.4.1,Version Detection,1
192.168.1.201,8856,udp,closed,unknown,unknown,ACK Scan,0
192.168.1.234,36757,tcp,closed,unknown,unknown,Connect Scan,0
10.0.12.94,135,tcp,open,msrpc,Microsoft Windows RPC,Version Detection,1
10.0.13.233,445,tcp,open,microsoft-ds,Samba smbd 4.7.6,SYN Scan,1
192.168.1.95,37354,udp,closed,unknown,unknown,SYN Scan,0
10.0.1.83,23,tcp,open,telnet,Cisco IOS telnetd,ACK Scan,1
172.16.27.43,53,udp,open,domain,ISC BIND 9.11,Connect Scan,1
192.168.1.220,110,tcp,open,pop3,Courier pop3d,ACK Scan,1
10.0.29.54,135,tcp,open,msrpc,Microsoft Windows RPC,ACK Scan,1
192.168.1.13,5432,tcp,open,postgresql,PostgreSQL 13.1,Connect Scan,1
192.168.1.15,22,tcp,open,ssh,OpenSSH 8.2p1,Connect Scan,1
192.168.1.24,23,tcp,open,telnet,Cisco IOS telnetd,Version Detection,1
10.0.20.251,8080,tcp,open,http-proxy,Jetty 9.4,Version Detection,1
172.16.14.23,443,tcp,open,https,Microsoft IIS 10.0,Connect Scan,1
10.0.31.137,53,udp,open,domain,dnsmasq 2.79,Version Detection,1
172.16.21.153,52654,tcp,closed,unknown,unknown,Connect Scan,0
10.0.4.114,443,tcp,open,https,Microsoft IIS 10.0,Connect Scan,1
172.16.13.225,135,tcp,open,msrpc,Microsoft Windows RPC,Connect Scan,1
192.168.1.29,23,tcp,open,telnet,Linux telnetd,ACK Scan,1
10.0.6.104,110,tcp,open,pop3,Dovecot pop3d,ACK Scan,1
10.0.8.13,25061,tcp,filtered,unknown,unknown,ACK Scan,0
10.0.37.52,5432,tcp,open,postgresql,PostgreSQL 13.1,Version Detection,1
192.168.1.242,21,tcp,open,ftp,vsftpd 3.0.3,Version Detection,1
172.16.29.132,5700,tcp,closed,unknown,unknown,ACK Scan,0
172.16.29.207,31489,tcp,closed,unknown,unknown,Version Detection,0
10.0.11.186,80,tcp,open,http,Microsoft IIS 10.0,Connect Scan,1
10.0.7.19,25,tcp,open,smtp,Exim smtpd,ACK Scan,1
172.16.36.16,8080,tcp,open,http-proxy,Tomcat 9.0,Version Detection,1
10.0.19.154,137,udp,open,netbios-ns,Microsoft Windows NetBIOS,Version Detection,1
192.168.1.8,443,tcp,open,https,nginx 1.18.0,SYN Scan,1
192.168.1.26,27017,tcp,open,mongodb,MongoDB 4.2.8,ACK Scan,1
10.0.7.136,21,tcp,open,ftp,FileZilla Server,Version Detection,1
192.168.1.238,27017,tcp,open,mongodb,MongoDB 4.2.8,SYN Scan,1
192.168.1.144,110,tcp,open,pop3,Dovecot pop3d,SYN Scan,1
10.0.30.101,22,tcp,open,ssh,OpenSSH 7.6p1,ACK Scan,1
192.168.1.154,8080,tcp,open,http-proxy,Tomcat 9.0,SYN Scan,1
10.0.29.132,445,tcp,open,microsoft-ds,Samba smbd 4.7.6,ACK Scan,1
192.168.1.1,110,tcp,open,pop3,Courier pop3d,Version Detection,1
192.168.1.78,3306,tcp,open,mysql,MySQL 5.7.33,Version Detection,1
10.0.30.190,39744,tcp,closed,unknown,unknown,Version Detection,0
172.16.16.65,21,tcp,open,ftp,ProFTPD 1.3.5,SYN Scan,1
192.168.1.141,25,tcp,open,smtp,Exim smtpd,Connect Scan,1
192.168.1.175,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,Version Detection,1
172.16.3.141,110,tcp,open,pop3,Courier pop3d,ACK Scan,1
192.168.1.130,27942,udp,closed,unknown,unknown,Version Detection,0
192.168.1.178,5432,tcp,open,postgresql,PostgreSQL 12.5,Connect Scan,1
172.16.17.190,49996,udp,filtered,unknown,unknown,Version Detection,0
172.16.2.191,21,tcp,open,ftp,vsftpd 3.0.3,SYN Scan,1
172.16.0.100,3389,tcp,open,ms-wbt-server,Microsoft Terminal Services,SYN Scan,1
192.168.1.9,3389,tcp,open,ms-wbt-server,Microsoft Terminal Services,SYN Scan,1
172.16.14.140,110,tcp,open,pop3,Courier pop3d,Connect Scan,1
192.168.1.122,13718,udp,closed,unknown,unknown,ACK Scan,0
10.0.9.151,53,udp,open,domain,dnsmasq 2.79,ACK Scan,1
192.168.1.28,135,tcp,open,msrpc,Microsoft Windows RPC,ACK Scan,1
192.168.1.183,3389,tcp,open,ms-wbt-server,Microsoft Terminal Services,Connect Scan,1
192.168.1.138,49021,udp,closed,unknown,unknown,SYN Scan,0
172.16.21.141,137,udp,open,netbios-ns,Microsoft Windows NetBIOS,Version Detection,1
172.16.27.16,3389,tcp,open,ms-wbt-server,Microsoft Terminal Services,SYN Scan,1
10.0.24.253,27017,tcp,open,mongodb,MongoDB 4.4.1,SYN Scan,1
10.0.12.209,53,udp,open,domain,dnsmasq 2.79,Version Detection,1
10.0.19.204,22,tcp,open,ssh,Dropbear sshd,Connect Scan,1
10.0.7.44,25,tcp,open,smtp,Postfix smtpd,ACK Scan,1
172.16.3.179,24261,udp,closed,unknown,unknown,SYN Scan,0
172.16.7.242,5432,tcp,open,postgresql,PostgreSQL 13.1,Version Detection,1
10.0.21.98,29306,tcp,filtered,unknown,unknown,Connect Scan,0
192.168.1.236,43877,tcp,closed,unknown,unknown,Connect Scan,0
192.168.1.152,25,tcp,open,smtp,Microsoft Exchange,ACK Scan,1
172.16.9.80,443,tcp,open,https,nginx 1.18.0,Version Detection,1
172.16.35.60,445,tcp,open,microsoft-ds,Samba smbd 4.7.6,Connect Scan,1
172.16.23.1,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,ACK Scan,1
172.16.12.163,5432,tcp,open,postgresql,PostgreSQL 13.1,Connect Scan,1
10.0.8.118,3703,udp,filtered,unknown,unknown,Connect Scan,0
192.168.1.225,55843,udp,filtered,unknown,unknown,SYN Scan,0
10.0.31.189,9829,tcp,filtered,unknown,unknown,SYN Scan,0
192.168.1.23,27017,tcp,open,mongodb,MongoDB 4.2.8,Version Detection,1
10.0.26.30,5432,tcp,open,postgresql,PostgreSQL 12.5,ACK Scan,1
192.168.1.27,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,ACK Scan,1
192.168.1.21,8915,udp,closed,unknown,unknown,SYN Scan,0
10.0.3.184,54263,tcp,filtered,unknown,unknown,Connect Scan,0
10.0.38.174,80,tcp,open,http,nginx 1.18.0,Connect Scan,1
192.168.1.55,33841,tcp,filtered,unknown,unknown,Version Detection,0
172.16.10.193,21,tcp,open,ftp,FileZilla Server,Connect Scan,1
172.16.24.213,135,tcp,open,msrpc,Microsoft Windows RPC,ACK Scan,1
172.16.13.7,8080,tcp,open,http-proxy,Tomcat 9.0,ACK Scan,1
10.0.8.144,22286,tcp,filtered,unknown,unknown,Version Detection,0
172.16.36.45,3203,udp,open,unknown,unknown,Connect Scan,1
192.168.1.194,5432,tcp,open,postgresql,PostgreSQL 12.5,ACK Scan,1
172.16.35.193,143,tcp,open,imap,Dovecot imapd,Connect Scan,1
10.0.8.214,25,tcp,open,smtp,Postfix smtpd,ACK Scan,1
10.0.27.191,8080,tcp,open,http-proxy,Jetty 9.4,Connect Scan,1
10.0.22.171,23,tcp,open,telnet,Linux telnetd,Version Detection,1
172.16.4.206,80,tcp,open,http,Apache httpd 2.4.41,SYN Scan,1
192.168.1.113,25,tcp,open,smtp,Microsoft Exchange,SYN Scan,1
10.0.36.63,48244,tcp,closed,unknown,unknown,ACK Scan,0
10.0.8.97,10961,udp,filtered,unknown,unknown,Connect Scan,0
172.16.33.245,443,tcp,open,https,nginx 1.18.0,ACK Scan,1
192.168.1.206,22,tcp,open,ssh,Dropbear sshd,ACK Scan,1
172.16.32.53,445,tcp,open,microsoft-ds,Microsoft Windows 10,Connect Scan,1
192.168.1.187,443,tcp,open,https,nginx 1.18.0,SYN Scan,1
172.16.28.86,27017,tcp,open,mongodb,MongoDB 4.2.8,Connect Scan,1
192.168.1.24,53,udp,open,domain,dnsmasq 2.79,Version Detection,1
10.0.26.31,53,udp,open,domain,dnsmasq 2.79,ACK Scan,1
10.0.17.19,27667,tcp,filtered,unknown,unknown,Connect Scan,0
172.16.6.25,53986,udp,filtered,unknown,unknown,SYN Scan,0
10.0.18.248,21,tcp,open,ftp,vsftpd 3.0.3,ACK Scan,1
10.0.38.147,25,tcp,open,smtp,Exim smtpd,Connect Scan,1
172.16.29.122,21,tcp,open,ftp,ProFTPD 1.3.5,SYN Scan,1
10.0.38.235,445,tcp,open,microsoft-ds,Microsoft Windows 10,Version Detection,1
192.168.1.132,14906,udp,filtered,unknown,unknown,Connect Scan,0
10.0.4.144,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,Connect Scan,1
172.16.2.91,29685,tcp,closed,unknown,unknown,Connect Scan,0
172.16.1.123,10589,udp,closed,unknown,unknown,SYN Scan,0
192.168.1.22,23,tcp,open,telnet,Linux telnetd,Version Detection,1
10.0.17.201,19498,udp,filtered,unknown,unknown,ACK Scan,0
172.16.28.131,445,tcp,open,microsoft-ds,Samba smbd 4.7.6,Connect Scan,1
192.168.1.61,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,Version Detection,1
10.0.14.207,137,udp,open,netbios-ns,Microsoft Windows NetBIOS,Connect Scan,1
10.0.28.98,27017,tcp,open,mongodb,MongoDB 4.2.8,Version Detection,1
172.16.32.153,143,tcp,open,imap,Dovecot imapd,Version Detection,1
10.0.13.36,3389,tcp,open,ms-wbt-server,Microsoft Terminal Services,Version Detection,1
172.16.26.210,21,tcp,open,ftp,vsftpd 3.0.3,Connect Scan,1
172.16.19.166,110,tcp,open,pop3,Dovecot pop3d,Connect Scan,1
10.0.31.163,443,tcp,open,https,Microsoft IIS 10.0,Connect Scan,1
172.16.14.91,33528,udp,closed,unknown,unknown,ACK Scan,0
10.0.16.70,22,tcp,open,ssh,OpenSSH 7.6p1,SYN Scan,1
172.16.33.19,80,tcp,open,http,Apache httpd 2.4.41,ACK Scan,1
172.16.23.57,56214,udp,closed,unknown,unknown,Version Detection,0
192.168.1.104,23,tcp,open,telnet,Linux telnetd,Connect Scan,1
192.168.1.116,21,tcp,open,ftp,vsftpd 3.0.3,ACK Scan,1
10.0.7.177,26423,udp,filtered,unknown,unknown,ACK Scan,0
192.168.1.102,22,tcp,open,ssh,Dropbear sshd,SYN Scan,1
192.168.1.42,110,tcp,open,pop3,Dovecot pop3d,Connect Scan,1
172.16.19.198,80,tcp,open,http,nginx 1.18.0,SYN Scan,1
10.0.1.168,25,tcp,open,smtp,Microsoft Exchange,Connect Scan,1
172.16.10.237,3306,tcp,open,mysql,MySQL 5.7.33,ACK Scan,1
172.16.20.80,22,tcp,open,ssh,Dropbear sshd,SYN Scan,1
192.168.1.167,1537,udp,filtered,unknown,unknown,SYN Scan,0
10.0.4.208,53,udp,open,domain,ISC BIND 9.11,Connect Scan,1
10.0.9.66,12249,tcp,filtered,unknown,unknown,Version Detection,0
192.168.1.17,110,tcp,open,pop3,Courier pop3d,Version Detection,1
172.16.22.6,110,tcp,open,pop3,Courier pop3d,Connect Scan,1
10.0.21.12,47506,tcp,closed,unknown,unknown,Version Detection,0
10.0.25.217,3306,tcp,open,mysql,MariaDB 10.3,Version Detection,1
172.16.38.192,21,tcp,open,ftp,ProFTPD 1.3.5,Connect Scan,1
192.168.1.237,27017,tcp,open,mongodb,MongoDB 4.2.8,SYN Scan,1
172.16.15.201,27841,udp,filtered,unknown,unknown,ACK Scan,0
172.16.22.192,5432,tcp,open,postgresql,PostgreSQL 12.5,Version Detection,1
192.168.1.215,135,tcp,open,msrpc,Microsoft Windows RPC,Connect Scan,1
172.16.37.100,80,tcp,open,http,Microsoft IIS 10.0,Connect Scan,1
10.0.25.60,135,tcp,open,msrpc,Microsoft Windows RPC,ACK Scan,1
192.168.1.68,21,tcp,open,ftp,vsftpd 3.0.3,SYN Scan,1
172.16.35.109,22,tcp,open,ssh,OpenSSH 7.6p1,Version Detection,1
172.16.3.191,27017,tcp,open,mongodb,MongoDB 4.2.8,Connect Scan,1
10.0.12.214,8080,tcp,open,http-proxy,Tomcat 9.0,Connect Scan,1
172.16.16.63,3306,tcp,open,mysql,MariaDB 10.3,Connect Scan,1
192.168.1.134,41325,tcp,filtered,unknown,unknown,SYN Scan,0
10.0.9.228,53,udp,open,domain,dnsmasq 2.79,ACK Scan,1
172.16.1.97,25,tcp,open,smtp,Microsoft Exchange,Version Detection,1
192.168.1.123,445,tcp,open,microsoft-ds,Microsoft Windows 10,Connect Scan,1
10.0.27.78,110,tcp,open,pop3,Courier pop3d,Version Detection,1
192.168.1.184,80,tcp,open,http,nginx 1.18.0,ACK Scan,1
10.0.6.76,80,tcp,open,http,nginx 1.18.0,Version Detection,1
172.16.26.126,53,udp,open,domain,dnsmasq 2.79,SYN Scan,1
172.16.24.180,21,tcp,open,ftp,ProFTPD 1.3.5,SYN Scan,1
192.168.1.63,63028,udp,closed,unknown,unknown,SYN Scan,0
192.168.1.69,445,tcp,open,microsoft-ds,Samba smbd 4.7.6,Connect Scan,1
172.16.23.167,445,tcp,open,microsoft-ds,Samba smbd 4.7.6,Connect Scan,1
192.168.1.205,25,tcp,open,smtp,Microsoft Exchange,SYN Scan,1
192.168.1.142,443,tcp,open,https,Microsoft IIS 10.0,SYN Scan,1
172.16.21.2,5432,tcp,open,postgresql,PostgreSQL 12.5,ACK Scan,1
172.16.38.154,65304,udp,filtered,unknown,unknown,ACK Scan,0
10.0.2.75,8080,tcp,open,http-proxy,Tomcat 9.0,Version Detection,1
172.16.27.83,53,udp,open,domain,ISC BIND 9.11,SYN Scan,1
10.0.16.56,110,tcp,open,pop3,Dovecot pop3d,ACK Scan,1
10.0.8.93,143,tcp,open,imap,Courier imapd,ACK Scan,1
172.16.28.158,135,tcp,open,msrpc,Microsoft Windows RPC,SYN Scan,1
192.168.1.208,53,udp,open,domain,ISC BIND 9.11,Connect Scan,1
10.0.5.236,49758,tcp,open,unknown,unknown,Version Detection,1
172.16.16.56,53,udp,open,domain,dnsmasq 2.79,SYN Scan,1
10.0.20.124,80,tcp,open,http,Apache httpd 2.4.41,ACK Scan,1
192.168.1.227,445,tcp,open,microsoft-ds,Microsoft Windows 10,ACK Scan,1
172.16.27.104,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,ACK Scan,1
192.168.1.39,443,tcp,open,https,Microsoft IIS 10.0,SYN Scan,1
192.168.1.53,443,tcp,open,https,Apache httpd 2.4.41,Connect Scan,1
172.16.36.75,53,udp,open,domain,dnsmasq 2.79,SYN Scan,1
10.0.30.43,8080,tcp,open,http-proxy,Jetty 9.4,Version Detection,1
172.16.21.117,443,tcp,open,https,Microsoft IIS 10.0,Version Detection,1
192.168.1.12,443,tcp,open,https,Microsoft IIS 10.0,ACK Scan,1
10.0.30.208,8080,tcp,open,http-proxy,Tomcat 9.0,ACK Scan,1
192.168.1.109,137,udp,open,netbios-ns,Microsoft Windows NetBIOS,Version Detection,1
172.16.28.250,8080,tcp,open,http-proxy,Tomcat 9.0,SYN Scan,1
172.16.22.70,22,tcp,open,ssh,OpenSSH 8.2p1,Connect Scan,1
192.168.1.250,13320,udp,closed,unknown,unknown,SYN Scan,0
10.0.25.25,52498,tcp,closed,unknown,unknown,Connect Scan,0
192.168.1.220,143,tcp,open,imap,Dovecot imapd,Connect Scan,1
192.168.1.213,22,tcp,open,ssh,OpenSSH 8.2p1,ACK Scan,1
10.0.27.111,52767,udp,filtered,unknown,unknown,Version Detection,0
192.168.1.210,3306,tcp,open,mysql,MySQL 5.7.33,Version Detection,1
172.16.0.98,80,tcp,open,http,nginx 1.18.0,ACK Scan,1
192.168.1.127,8080,tcp,open,http-proxy,Tomcat 9.0,Version Detection,1
192.168.1.107,3306,tcp,open,mysql,MySQL 5.7.33,ACK Scan,1
172.16.33.123,3389,tcp,open,ms-wbt-server,Microsoft Terminal Services,Connect Scan,1
192.168.1.140,21,tcp,open,ftp,ProFTPD 1.3.5,SYN Scan,1
192.168.1.214,445,tcp,open,microsoft-ds,Microsoft Windows 10,Connect Scan,1
192.168.1.58,135,tcp,open,msrpc,Microsoft Windows RPC,Connect Scan,1
172.16.24.126,80,tcp,open,http,Microsoft IIS 10.0,Version Detection,1
192.168.1.107,34826,udp,closed,unknown,unknown,SYN Scan,0
10.0.9.133,21111,udp,closed,unknown,unknown,Connect Scan,0
10.0.20.239,13481,tcp,filtered,unknown,unknown,SYN Scan,0
10.0.14.148,443,tcp,open,https,Apache httpd 2.4.41,SYN Scan,1
172.16.15.161,443,tcp,open,https,nginx 1.18.0,ACK Scan,1
10.0.35.63,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,Version Detection,1
10.0.21.0,8080,tcp,open,http-proxy,Jetty 9.4,Version Detection,1
172.16.10.176,22,tcp,open,ssh,OpenSSH 8.2p1,ACK Scan,1
172.16.30.0,22,tcp,open,ssh,OpenSSH 7.6p1,Version Detection,1
10.0.25.30,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,ACK Scan,1
172.16.26.83,3306,tcp,open,mysql,MariaDB 10.3,Connect Scan,1
10.0.28.52,3389,tcp,open,ms-wbt-server,Microsoft Terminal Services,Connect Scan,1
192.168.1.121,22,tcp,open,ssh,OpenSSH 7.6p1,ACK Scan,1
192.168.1.51,34808,tcp,closed,unknown,unknown,SYN Scan,0
10.0.0.202,8080,tcp,open,http-proxy,Tomcat 9.0,Connect Scan,1
10.0.30.21,6780,tcp,closed,unknown,unknown,SYN Scan,0
10.0.32.15,3389,tcp,open,ms-wbt-server,Microsoft Terminal Services,Version Detection,1
10.0.18.90,53,udp,open,domain,dnsmasq 2.79,ACK Scan,1
